item_id,item_name,description,skill_effect,rarity,category
20,金币袋,装满了闪闪发光的金币，商人的最爱。,获得500金币，使用后立即存入玩家账户,普通,货币
21,暗夜匕首,夜间刺客的专用武器，悄无声息地带走生命。,背刺伤害提升200%，有25%概率附带毒素效果,稀有,武器
22,圣水瓶,教堂祝福的神圣之水，对亡灵生物效果极佳。,对亡灵类敌人造成500点神圣伤害，净化诅咒效果,普通,消耗品
23,风行者靴,风神的恩赐，踏步之间如乘风而行。,移动速度额外提升15%，可在水面行走10秒,史诗,防具
24,魔龙之眼,从古代魔龙眼眶中取出，据说能看穿一切幻象。,看穿隐身单位，技能命中率提升20%,传说,饰品
25,复仇之刃,死亡骑士的遗物，蕴含不灭的复仇意志。,受到伤害时积累怒气，怒气满时爆发额外伤害,史诗,武器
26,神圣铠甲,神殿守卫的标配装备，散发着金色神圣光芒。,所有属性防御提升15%，免疫1次控制效果,传说,防具
27,毒雾弹,由毒蘑菇萃取液制成，产生持续毒雾。,在目标区域制造毒雾，持续10秒造成毒素伤害,稀有,消耗品
28,幸运护符,据说能改变命运走向的神秘护符。,暴击率提升5%，掉落稀有物品概率提升10%,普通,饰品
29,钢铁意志腰带,传说中的勇士锻造，能抵御任何精神攻击。,控制效果持续时间减少30%，精神属性伤害减免20%,稀有,防具
30,元素精华,四大元素汇聚的能量结晶，法师的核心材料。,提升所有元素技能伤害15%，减少技能冷却5%,史诗,材料
31,血祭之剑,用鲜血浇铸的诅咒之剑，每次攻击都汲取生命。,攻击时吸取目标10%生命值，但持续消耗自身生命,史诗,武器
32,时间沙漏,能操控时间流速的神器，传说只有神明才能驾驭。,使周围时间减慢50%，持续5秒，每小时一次,传说,饰品
33,自然之怒法杖,森林守护者的圣器，蕴含大地的愤怒。,召唤藤蔓缠绕3名敌人，使其无法移动5秒,稀有,武器
34,钻石护盾,由最坚硬的钻石打磨，无坚不摧。,免疫下一次攻击，主动使用时弹反100%物理伤害,史诗,防具
35,流星箭矢,从天外飞来的陨石打造，携带着宇宙能量。,箭矢命中后产生爆炸，范围伤害提升40%,稀有,武器
36,智者长袍,古代魔法学院院长遗留，充满智慧的气息。,最大法力值提升30%，法术冷却时间减少10%,史诗,防具
37,战鼓,古老部落的战鼓，击打声能激励所有同伴。,为队伍所有成员提升15%攻击速度，持续30秒,稀有,道具
38,黑暗结晶,由黑暗之神的力量凝聚而成，散发着不吉祥的气息。,使用黑暗技能时额外造成20%伤害，但减少自身防御10%,史诗,材料
39,回春药草,神山上采集的珍稀草药，价值连城。,持续5秒每秒恢复200点生命值，不可叠加,普通,消耗品
40,幽灵之盔,由幽灵怨气锻造而成，佩戴者如隐于阴间。,进入幽灵状态可穿越障碍物，持续3秒,传说,防具
41,雷电精灵符文,召唤雷电精灵的古老符文，雷声隆隆。,召唤雷电精灵协助战斗，持续60秒,稀有,道具
42,海盗宝图,藏着无尽财富秘密的宝藏地图。,指引前往隐藏宝箱位置，每周刷新一次,普通,道具
43,死亡之镰,死神的收割工具，一刀带走所有生机。,对低于20%血量的敌人造成即死效果,传说,武器
44,治疗光环戒指,散发着温暖治愈光芒的戒指。,每30秒为周围队友恢复100点生命值,史诗,饰品
45,隐形药水,喝下后立刻消失于众人视线中。,隐身持续15秒，受到攻击或使用技能后解除,稀有,消耗品
46,力量图腾,蛮族萨满的神圣图腾，蕴含大地力量。,放置后为周围30米内的队友提升20%力量,史诗,道具
47,防毒面罩,能过滤所有毒素气体的专业防护装备。,完全免疫毒素和腐蚀类伤害,稀有,防具
48,魔法书卷,记载着失传魔法的古老典籍。,学习一个随机稀有技能,史诗,消耗品
49,巨人之靴,巨人遗留的超大号靴子，普通人穿上后力大无穷。,体型增大50%，踩踏伤害提升100%，但移动速度降低20%,传说,防具
50,火焰护符,火神赐予的护身符，将火焰化为保护之力。,免疫火焰伤害，受到火焰攻击时恢复10%生命值,稀有,饰品
51,封印之书,封存了上古恶魔的神秘典籍。,对一个目标施加封印，使其无法使用技能，持续8秒,史诗,道具
52,破甲长枪,专为穿透重甲设计的精密长枪。,无视目标25%物理防御,稀有,武器
53,风暴法球,凝聚了无数风暴能量的魔法球。,每次攻击附带风暴伤害，并有10%概率打飞敌人,史诗,武器
54,净化之光,驱散黑暗的圣光，令恶魔闻风丧胆。,净化目标所有负面状态，并提供5秒免疫效果,稀有,消耗品
55,黑曜石甲胄,由火山黑曜石打造，坚硬如铁，却轻巧灵活。,物理防御+25%，不影响移动速度和敏捷,史诗,防具
56,月华发带,月之女神遗留，佩戴者受月光庇护。,夜晚属性全面提升10%，月圆之夜提升翻倍,稀有,饰品
57,爆裂投枪,爆炸物专家特制的投掷型武器。,投掷后爆炸，对范围内敌人造成火焰伤害,稀有,武器
58,永生之水,传说饮下可获得不死之身的神秘液体。,在当前副本中复活次数+1,传说,消耗品
59,鸡腿,新鲜烤制的美味鸡腿，香气四溢。,恢复100点生命值，心情指数提升,普通,消耗品
60,钢铁箭袋,储量惊人的特制箭袋，让弓箭手永不断弹。,箭矢数量上限提升至200，装填速度提升20%,普通,道具
61,猎人之眼,使用者视野和判断力大幅提升的神秘药水。,视野范围提升30%，远程攻击精准度提升20%,稀有,消耗品
62,混沌水晶,充满混沌能量的危险结晶，效果随机。,随机触发：恢复全血/造成自身最大血量50%伤害/召唤援军,传说,消耗品
63,丛林长弓,丛林猎人常用的狩猎利器，拉力惊人。,攻击速度提升20%，移动时仍可射击,普通,武器
64,大地之锤,大地守护神的武器，每次击地都引发震动。,使用后引发地震，击晕范围内所有敌人3秒,史诗,武器
65,隐龙戒指,传说中能使佩戴者与龙沟通的神秘戒指。,骑乘飞龙时控制速度提升30%，龙族NPC好感度+50,传说,饰品
66,电磁护盾发生器,科幻风格的高科技防护装置。,开启电磁护盾，格挡一次远程攻击并反弹,稀有,道具
67,毒蜘蛛之腺,从剧毒蜘蛛身上提取的高浓缩毒素。,武器附魔：每次攻击有20%概率造成剧毒,普通,材料
68,圣殿骑士徽章,证明持有者为神圣骑士团成员的标志性徽章。,进入圣地时通行无阻，圣殿NPC好感度+100,史诗,饰品
69,远古符文石,刻有上古文明魔法文字的神秘石块。,可用于合成高级装备，提供随机强化加成,稀有,材料
70,沉默之箭,命中后使目标无法发声施法的特殊箭矢。,使目标沉默5秒，无法使用需要吟唱的技能,稀有,武器
71,天空之石,从云层高处坠落的神秘陨石碎片。,提升飞行类坐骑速度20%，云端地图移动加速,普通,材料
72,战狼项圈,狼王遗留的珍贵项圈，狼族的信物。,召唤一只战狼伴随战斗，增加追踪能力,稀有,饰品
73,熔岩法杖,在火山熔岩中锻造而成，永远燃烧不息。,火系技能伤害提升35%，附加持续燃烧效果,史诗,武器
74,迷踪烟雾弹,特制的战术迷踪烟雾，用于混淆视线。,制造浓密烟雾遮挡敌人视线，持续8秒,普通,消耗品
75,魂魄捕捉瓶,专门用于捕捉战败敌人魂魄的魔法容器。,击败精英怪后有30%概率捕捉其魂魄,稀有,道具
76,全能钥匙,能开启任何普通门锁的万能钥匙。,打开所有非魔法封印的宝箱和门，每天3次,普通,道具
77,骑士誓言戒指,古代骑士在誓言仪式上佩戴的信物。,在誓约任务中提升所有属性10%,普通,饰品
78,疾风短剑,轻如鸿毛却锋利无比的精灵短剑。,攻击速度提升40%，连击时每击额外伤害递增,史诗,武器
79,山岳之盾,以巨大山石铸造，凝聚了大山的稳固之力。,承受攻击时有15%概率完全格挡，挑衅吸引仇恨,稀有,防具
80,精灵粉末,由森林精灵亲手调配，散发迷幻光芒。,使一个敌人迷惑攻击其同伴，持续6秒,稀有,消耗品
81,亡灵法典,记载着召唤和控制亡灵之术的禁忌典籍。,召唤亡灵战士协助战斗，最多同时存在3只,史诗,道具
82,战士臂环,象征战士荣耀的传统臂环，代代相传。,力量+10，抗击退效果+30%,普通,饰品
83,神速靴,据说穿上后跑步速度能与闪电相提并论。,冲刺速度提升60%，连续3次冲刺触发超速状态,传说,防具
84,冰封魔典,来自冰雪之国的魔法典籍，记载冰系绝学。,冰系技能伤害提升30%，附加冰冻概率25%,史诗,道具
85,毒牙匕首,提炼自最剧毒蛇牙的短匕，毒素难以解除。,攻击附加剧毒，每秒造成持续伤害，持续10秒,稀有,武器
86,守望者头盔,长期守望边疆的骑士所使用的坚实头盔。,提升警觉性，敌人靠近时自动警报,普通,防具
87,烈日法袍,以太阳精华织就的法袍，光热四溢。,光系技能伤害提升25%，在日间属性全面+5%,史诗,防具
88,探索者指南针,永远指向最近的宝藏或隐藏区域。,显示附近隐藏宝箱、矿石和秘密区域位置,稀有,道具
89,铁血腰带,经历百战的战士腰带，每道划痕都是荣耀。,最大生命值提升15%，低血量时防御额外+20%,普通,防具
90,星轨长矛,以陨铁为材，矛尖划过如划破星空般璀璨。,穿刺伤害+40%，命中后目标流血10秒,史诗,武器
91,魔导石,蕴含强大魔力的传说宝石，法师梦寐以求之物。,提升法术强度20点，随机提升一种元素抗性10%,传说,材料
92,骸骨盾,由亡者骸骨铸造，邪气冲天却防御极强。,物理防御+35%，周围敌人每5秒受到恐惧效果,史诗,防具
93,时光倒流药水,违反自然法则的禁忌药水，时间为你而逆转。,将角色状态恢复至10秒前，包括生命值和技能状态,传说,消耗品
94,光明圣杯,充满圣光的宝杯，能解除任何诅咒。,满血量时提供护盾吸收500点伤害，解除所有诅咒,史诗,道具
95,蛮族战旗,能鼓舞士气的古老蛮族图腾旗帜。,周围30米内队友攻击和防御提升10%，持续60秒,稀有,道具
96,异界之眼,来自另一个维度的神秘眼球，感知超乎常人。,可以看穿伪装和变身，感知隐藏的BOSS弱点,传说,饰品
97,骑士长剑,骑士团标准配备的精制长剑，均衡性极佳。,攻击与防御均提升10%，适合全能型战士,普通,武器
98,消散结晶,使物体化为虚无的神秘结晶，用途广泛。,分解一件装备获得同品质材料×3,稀有,消耗品
99,神迹戒指,神明在人间留下的印记，持有者受到庇护。,复活时恢复全部生命值，每天触发一次,传说,饰品
100,混沌之刃,诞生于混沌之初的太古神兵，力量无可估量。,每次攻击随机触发火焰/冰霜/雷电/暗影效果之一,传说,武器
101,护盾能量核,为能量护盾提供持续能量的高科技核心装置。,护盾最大值提升30%，护盾恢复速度+50%,史诗,材料
102,探险家背包,容量惊人的特制背包，探险者必备之物。,背包容量提升50格，负重上限提升20%,稀有,道具
103,冰晶魔法棒,由千年寒冰精华凝结而成，触感冰凉彻骨。,冰系技能必定附加冰冻，持续时间延长2秒,史诗,武器
104,炼金转化炉,炼金术师的核心工具，可转化各种材料。,将3种普通材料转化为1种稀有材料,稀有,道具
105,命运之钥,据说能开启通往命运之门的神秘钥匙。,进入特殊命运副本，获得专属传说级奖励,传说,道具
